,model_comp_miss,model_uncomp_miss,model_miss,base_model_comp_miss,base_model_uncomp_miss,base_model_miss,profiler_miss,sim_miss,opt_break_trace_off_comp_miss,opt_break_trace_off_uncomp_miss,opt_break_trace_off_miss,opt_break_trace_on_comp_miss,opt_break_trace_on_uncomp_miss,opt_break_trace_on_miss,opt_break_jam_off_comp_miss,opt_break_jam_off_uncomp_miss,opt_break_jam_off_miss,opt_break_jam_on_comp_miss,opt_break_jam_on_uncomp_miss,opt_break_jam_on_miss,opt_break_stack_off_comp_miss,opt_break_stack_off_uncomp_miss,opt_break_stack_off_miss,opt_break_stack_on_comp_miss,opt_break_stack_on_uncomp_miss,opt_break_stack_on_miss,opt_break_latency_off_comp_miss,opt_break_latency_off_uncomp_miss,opt_break_latency_off_miss,opt_break_latency_on_comp_miss,opt_break_latency_on_uncomp_miss,opt_break_latency_on_miss,suite,bench,kernel
parboil#bfs#BFS_in_GPU_kernel,0.0684,0.8222,0.8906000000000001,0.06898310708749548,0.8898667287377612,0.9588498358252566,0.5821000000000001,0.24305590819072767,0.0684,0.8233,0.8917,0.0684,0.7395,0.8079000000000001,0.0684,0.8227,0.8911,0.0685,0.7376,0.8061,0.0685,0.7469,0.8154,0.0684,0.8246,0.893,0.0684,0.8236,0.892,0.0686,0.7473,0.8159,parboil,bfs,BFS_in_GPU_kernel
parboil#cutcp#cuda_cutoff_potential_lattice6overlap,0.2801,0.1537,0.4338,0.03356944093093853,0.39787503162155324,0.43144447255249174,0.42289999999999994,0.37547798199087207,0.5,0.0,0.5,0.3981,0.0316,0.4297,0.2801,0.149,0.42910000000000004,0.5,0.0,0.5,0.4,0.0327,0.43270000000000003,0.5,0.0,0.5,0.2801,0.1498,0.4299,0.5,0.0,0.5,parboil,cutcp,cuda_cutoff_potential_lattice6overlap
parboil#histo#histo_final_kernel,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7120418848167539,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,histo,histo_final_kernel
parboil#histo#histo_intermediates_kernel,0.5253,0.0,0.5253,0.5264270613107822,0.35934196617336156,0.8857690274841438,0.5718,0.9885787342851055,0.5253,0.0,0.5253,0.9718,0.0003,0.9721,0.5253,0.0,0.5253,0.9972,0.0,0.9972,0.9873,0.0,0.9873,0.5253,0.0,0.5253,0.5253,0.0004,0.5257,0.9983,0.0,0.9983,parboil,histo,histo_intermediates_kernel
parboil#histo#histo_main_kernel,1.0,0.0,1.0,0.2222222222222222,0.7767277586865216,0.9989499809087438,1.0,0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,histo,histo_main_kernel
parboil#histo#histo_prescan_kernel,0.2563,0.0212,0.27749999999999997,0.257458009526197,0.38205063925795935,0.6395086487841564,0.43299999999999994,0.6235962066383828,0.2604,0.0025,0.2629,0.4993,0.0123,0.5116,0.2563,0.02,0.2763,0.4997,0.0005,0.5002,0.5,0.0128,0.5128,0.2604,0.0025,0.2629,0.2563,0.0192,0.27549999999999997,0.5,0.0005,0.5005,parboil,histo,histo_prescan_kernel
parboil#lbm#performStreamCollide_kernel,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,lbm,performStreamCollide_kernel
parboil#mri-g#binning_kernel,0.6411,0.3419,0.983,0.311887323943662,0.34478873239436625,0.6566760563380283,0.7022999999999999,0.6816849403921001,0.6356,0.0433,0.6789000000000001,0.6519,0.1404,0.7923,0.6411,0.342,0.9831000000000001,0.7115,0.0169,0.7284,0.6552,0.1554,0.8106,0.6356,0.1136,0.7492000000000001,0.6411,0.3419,0.983,0.6498,0.0592,0.7090000000000001,parboil,mri-g,binning_kernel
parboil#mri-g#scan_L1_kernel,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-g,scan_L1_kernel
parboil#mri-g#scan_inter1_kernel,0.5,0.0,0.5,0.5,0.0,0.5,0.5556000000000001,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,parboil,mri-g,scan_inter1_kernel
parboil#mri-g#scan_inter2_kernel,0.5,0.0,0.5,0.5,0.0,0.5,0.5556000000000001,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,parboil,mri-g,scan_inter2_kernel
parboil#mri-g#splitRearrange,0.9206,0.0013,0.9218999999999999,0.812109375,0.10624999999999996,0.918359375,0.8976999999999999,0.897055421686747,0.9434,0.0,0.9434,0.9836,0.0001,0.9837,0.9206,0.0013,0.9218999999999999,0.9977,0.0,0.9977,0.993,0.0,0.993,0.9434,0.0,0.9434,0.9206,0.0013,0.9218999999999999,0.998,0.0,0.998,parboil,mri-g,splitRearrange
parboil#mri-g#splitSort,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-g,splitSort
parboil#mri-g#uniformAdd,0.9888,0.0,0.9888,1.0,0.0,1.0,1.0,0.9872944693572496,0.9981,0.0,0.9981,1.0,0.0,1.0,0.9888,0.0,0.9888,1.0,0.0,1.0,1.0,0.0,1.0,0.9981,0.0,0.9981,0.9888,0.0,0.9888,1.0,0.0,1.0,parboil,mri-g,uniformAdd
parboil#mri-q#ComputePhiMag_GPU,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-q,ComputePhiMag_GPU
parboil#mri-q#ComputeQ_GPU,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,parboil,mri-q,ComputeQ_GPU
